Test #,K Value,KNN Right, KNN Wrong, SVM Right, SVM Wrong
0,5,87,31, 109,9
1,5,83,35, 113,5
2,5,90,28, 112,6
3,5,86,32, 113,5
4,5,82,36, 115,3
5,5,82,36, 116,2
6,5,84,34, 115,3
7,5,91,27, 113,5
8,5,82,36, 112,6
9,5,92,26, 114,4
0,10,83,35, 114,4
1,10,65,53, 112,6
2,10,83,35, 114,4
3,10,83,35, 111,7
4,10,86,32, 113,5
5,10,81,37, 116,2
6,10,80,38, 114,4
7,10,81,37, 109,9
8,10,85,33, 113,5
9,10,85,33, 115,3
0,15,71,47, 112,6
1,15,71,47, 116,2
2,15,70,48, 114,4
3,15,75,43, 111,7
4,15,71,47, 113,5
5,15,70,48, 111,7
6,15,71,47, 114,4
7,15,80,38, 114,4
8,15,77,41, 112,6
9,15,77,41, 116,2
0,20,78,40, 112,6
1,20,68,50, 112,6
2,20,74,44, 112,6
3,20,82,36, 110,8
4,20,71,47, 114,4
5,20,70,48, 114,4
6,20,69,49, 116,2
7,20,67,51, 114,4
8,20,67,51, 114,4
9,20,75,43, 116,2
